"item_id","all_edits","bot_edits","anon_edits","human_edits","botXhuman","bot_edits_pc","anon_edits_pc","human_edits_pc","group_size","item_age","item_quality","squaredAnon","showcase"
"Q100",488,82,21,385,0.132566850309057,0.168032786885246,0.0430327868852459,0.788934426229508,194,1646.04983796296,"C",441,0
"Q10002108",4,3,0,1,0.1875,0.75,0,0.25,4,1489.67465277778,"E",0,0
"Q1002",143,40,1,102,0.199520758961318,0.27972027972028,0.00699300699300699,0.713286713286713,60,1645.10046296296,"C",1,0
"Q1005",546,113,6,427,0.161853104160796,0.206959706959707,0.010989010989011,0.782051282051282,144,1645.09590277778,"A",36,0
"Q1006",555,126,5,424,0.173440467494522,0.227027027027027,0.00900900900900901,0.763963963963964,145,1645.0943287037,"A",25,0
"Q1008",641,150,8,483,0.176328425991954,0.234009360374415,0.0124804992199688,0.753510140405616,172,1645.09170138889,"A",64,0
"Q101",174,10,9,155,0.0511956665345488,0.0574712643678161,0.0517241379310345,0.890804597701149,87,1646.04711805556,"C",81,0
"Q1010",221,71,1,149,0.21660080669929,0.321266968325792,0.00452488687782805,0.67420814479638,79,1645.09070601852,"C",1,0
"Q1013",525,125,2,398,0.180498866213152,0.238095238095238,0.00380952380952381,0.758095238095238,133,1645.08983796296,"A",4,0
"Q1014",512,130,4,378,0.187454223632812,0.25390625,0.0078125,0.73828125,125,1645.08949074074,"A",16,0
"Q1015",151,60,2,89,0.234200254374808,0.397350993377483,0.0132450331125828,0.589403973509934,70,1645.089375,"C",4,0
"Q1016",602,147,9,446,0.180908599242834,0.244186046511628,0.0149501661129568,0.740863787375415,134,1645.08914351852,"A",81,0
"Q1017",517,105,13,399,0.156740456958573,0.203094777562863,0.0251450676982592,0.771760154738878,121,1645.08877314815,"B",169,0
"Q1018",169,56,3,110,0.215678722733798,0.331360946745562,0.0177514792899408,0.650887573964497,64,1645.08868055556,"C",9,0
"Q1021",134,72,2,60,0.240588104254845,0.537313432835821,0.0149253731343284,0.447761194029851,63,1645.08806712963,"C",4,0
"Q102133",353,340,1,12,0.0327424182843936,0.963172804532578,0.0028328611898017,0.0339943342776204,23,1620.3034837963,"C",1,0
